
|KWMD        |89.7  MHz |FM |209 |ND  |-                   |C3 |-  |CP     |STERLING                 |AK |US |BPED   -20111014ADA |0.     kW |8.     kW |0.0     |61.1    |93589      |N |60 |29 |19.33 |W |150 |44 |42.83 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|152.4  m|-         |-       |1275477 |21.7   m|1451054   |
|WFAL        |105.9 MHz |FM |290 |ND  |-                   |A  |-  |CP     |MILNER                   |GA |US |BNPH   -20120529AHL |4.9    kW |4.9    kW |112.0   |112.0   |190444     |N |33 |9  |21.20 |W |84  |5  |40.10 |RADIO GEORGIA, INC.                                                         |   0.00 km |   0.00 mi |  0.00 deg |322.   m|322.0  m|-         |-       |1289225 |84.    m|1583327   |
|NEW         |105.9 MHz |FM |290 |ND  |-                   |A  |-  |CP     |PLAINS                   |GA |US |BNPH   -20130712ACJ |6.     kW |6.     kW |93.0    |93.0    |191501     |N |32 |5  |34.00 |W |84  |16 |56.00 |FAMILY LIFE BROADCASTING, INC.                                              |   0.00 km |   0.00 mi |  0.00 deg |220.   m|220.0  m|-         |-       |1026406 |81.    m|1595593   |
|WHKV        |106.1 MHz |FM |291 |ND  |-                   |A  |-  |LIC    |SYLVESTER                |GA |US |BMLED  -20070319ACH |6.     kW |6.     kW |100.0   |100.0   |33058      |N |31 |30 |15.00 |W |83  |55 |46.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |193.   m|193.0  m|-         |-       |1020220 |98.    m|1173870   |
|WKTM        |106.1 MHz |FM |291 |ND  |-                   |A  |-  |LIC    |SOPERTON                 |GA |US |BMLED  -20090121AEU |6.     kW |6.     kW |91.0    |91.0    |70118      |N |32 |25 |31.00 |W |82  |33 |26.00 |AUGUSTA RADIO FELOWSHIP INSTITUTE, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |173.   m|173.0  m|-         |-       |1040863 |82.    m|1297767   |
|WNGC        |106.1 MHz |FM |291 |ND  |-                   |C1 |-  |LIC    |ARCADE                   |GA |US |BLH    -20090918ACL |100.   kW |100.   kW |299.0   |299.0   |60810      |N |34 |22 |39.00 |W |83  |39 |35.00 |COX RADIO, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |619.   m|619.0  m|-         |-       |1016667 |221.   m|1305071   |
|WQBZ        |106.3 MHz |FM |292 |ND  |-                   |C2 |-  |LIC    |FORT VALLEY              |GA |US |BLH    -19900921KD  |50.    kW |50.    kW |150.0   |150.0   |64641      |N |32 |45 |31.00 |W |83  |44 |49.00 |AMFM RADIO LICENSES, LLC                                                    |   0.00 km |   0.00 mi |  0.00 deg |268.   m|268.0  m|-         |-       |-       |120.   m|152533    |
|WKBX        |106.3 MHz |FM |292 |DA  |-                   |A  |-  |LIC    |KINGSLAND                |GA |US |BLH    -19960111KA  |6.     kW |6.     kW |100.0   |100.0   |54649      |N |30 |48 |4.00  |W |81  |40 |43.00 |RADIO KINGS BAY, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |101.   m|101.0  m|14776     |0.      |-       |95.    m|218294    |
|WTUF        |106.3 MHz |FM |292 |ND  |-                   |A  |-  |LIC    |BOSTON                   |GA |US |BLH    -19970703KB  |6.     kW |6.     kW |100.0   |100.0   |6472       |N |30 |47 |40.00 |W |83  |46 |54.00 |BOSTON RADIO COMPANY, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |149.   m|149.0  m|-         |-       |-       |88.    m|249413    |
|WGMK        |106.3 MHz |FM |292 |ND  |-                   |A  |-  |LIC    |DONALSONVILLE            |GA |US |BLH    -19970703KC  |5.9    kW |5.9    kW |101.0   |101.0   |41208      |N |31 |4  |26.00 |W |84  |52 |47.00 |FLINT MEDIA, INC.                                                           |   0.00 km |   0.00 mi |  0.00 deg |151.   m|151.0  m|-         |-       |1017989 |98.    m|249414    |
|WOAH        |106.3 MHz |FM |292 |DA  |-                   |A  |-  |LIC    |GLENNVILLE               |GA |US |BLH    -20040326ABL |4.     kW |4.     kW |121.0   |121.0   |64632      |N |31 |51 |18.00 |W |81  |44 |28.00 |BROADCAST EXECUTIVES CORPORATION                                            |   0.00 km |   0.00 mi |  0.00 deg |143.   m|143.0  m|44968     |0.      |1020442 |119.   m|988870    |
|WQBZ        |106.3 MHz |FM |292 |DA  |-                   |C2 |-  |CP MOD |FORT VALLEY              |GA |US |BMPH   -20120525AFU |50.    kW |50.    kW |118.0   |118.0   |64641      |N |32 |35 |59.40 |W |83  |55 |15.70 |AMFM RADIO LICENSES, LLC                                                    |   0.00 km |   0.00 mi |  0.00 deg |252.   m|252.0  m|109440    |0.      |1023722 |83.    m|1501821   |
|WZIQ        |106.5 MHz |FM |293 |ND  |-                   |A  |-  |LIC    |SMITHVILLE               |GA |US |BMLED  -20090121AEP |2.45   kW |2.45   kW |157.0   |157.0   |29130      |N |31 |47 |59.00 |W |84  |14 |54.00 |AUGUSTA RADIO FELOWSHIP INSTITUTE, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |244.   m|244.0  m|-         |-       |1038684 |149.   m|1297796   |
|WZBX        |106.5 MHz |FM |293 |ND  |-                   |C3 |-  |LIC    |ROCKY FORD               |GA |US |BLH    -20101004AAZ |25.    kW |25.    kW |94.8    |94.8    |60213      |N |32 |43 |57.00 |W |81  |51 |43.00 |GEORGIA EAGLE MEDIA, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |154.5  m|154.5  m|-         |-       |1029217 |94.4   m|1398441   |
|WOKA-FM     |106.7 MHz |FM |294 |ND  |-                   |C1 |-  |LIC    |DOUGLAS                  |GA |US |BLH    -20020314AAN |100.   kW |100.   kW |299.0   |299.0   |12203      |N |31 |40 |21.00 |W |82  |51 |28.00 |COFFEE COUNTY BROADCASTERS, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |377.   m|377.0  m|-         |-       |1211899 |288.   m|597718    |
|WYAY        |106.7 MHz |FM |294 |ND  |-                   |C  |-  |LIC    |GAINESVILLE              |GA |US |BLH    -20051115ADU |77.    kW |77.    kW |505.0   |505.0   |48727      |N |33 |52 |2.00  |W |83  |49 |44.00 |RADIO LICENSE HOLDINGS LLC                                                  |   0.00 km |   0.00 mi |  0.00 deg |772.   m|772.0  m|-         |-       |1238554 |537.   m|1094547   |
|WGSW        |106.9 MHz |FM |295 |ND  |-                   |A  |-  |CP     |AMERICUS                 |GA |US |BNPH   -20130724ACI |5.3    kW |5.3    kW |74.0    |74.0    |191567     |N |32 |3  |6.00  |W |84  |10 |42.00 |VICKERS, VICTOR M                                                           |   0.00 km |   0.00 mi |  0.00 deg |190.   m|190.0  m|-         |-       |1020133 |60.    m|1563940   |
|WYFA        |107.1 MHz |FM |296 |DA  |-                   |C3 |-  |LIC    |WAYNESBORO               |GA |US |BLED   -19931118KA  |25.    kW |25.    kW |90.0    |90.0    |5167       |N |33 |10 |42.00 |W |81  |59 |24.00 |BIBLE BROADCASTING NETWORK, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |165.   m|165.0  m|14293     |0.      |1002308 |71.    m|192034    |
|WFXM        |107.1 MHz |FM |296 |ND  |-                   |A  |-  |LIC    |GORDON                   |GA |US |BLH    -20061016AEC |3.     kW |3.     kW |142.0   |142.0   |25387      |N |32 |50 |55.00 |W |83  |28 |29.00 |WFXM-FM RADIO, LLC                                                          |   0.00 km |   0.00 mi |  0.00 deg |271.   m|271.0  m|-         |-       |1234818 |117.   m|1154696   |
|WGMY        |107.1 MHz |FM |296 |ND  |-                   |C1 |-  |LIC    |THOMASVILLE              |GA |US |BMLH   -20110408ABL |100.   kW |100.   kW |251.0   |251.0   |61250      |N |30 |35 |12.00 |W |84  |14 |11.00 |CC LICENSES, LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |290.   m|290.0  m|-         |-       |1019324 |220.   m|1423277   |
|WSGT        |107.1 MHz |FM |296 |ND  |-                   |A  |-  |LIC    |PATTERSON                |GA |US |BLH    -20120430ADW |6.     kW |6.     kW |100.0   |100.0   |170483     |N |31 |23 |7.00  |W |82  |7  |27.00 |MATTOX BROADCASTING, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |123.9  m|123.9  m|-         |-       |1266835 |95.5   m|1492073   |
|WTSH-FM     |107.1 MHz |FM |296 |ND  |-                   |C1 |-  |LIC    |ARAGON                   |GA |US |BLH    -20120522ADU |100.   kW |100.   kW |158.0   |158.0   |7043       |N |34 |15 |3.00  |W |84  |59 |5.00  |WOMAN'S WORLD BROADCASTING, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |399.   m|399.0  m|-         |-       |1019058 |171.   m|1503316   |
|WTSH-FM     |107.1 MHz |FM |296 |ND  |-                   |C1 |-  |APP    |ARAGON                   |GA |US |BPH    -20130729AOL |100.   kW |100.   kW |131.0   |131.0   |7043       |N |34 |4  |19.00 |W |85  |0  |37.00 |WOMAN'S WORLD BROADCASTING, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |390.   m|390.0  m|-         |-       |-       |31.    m|1565707   |
|WMCD        |107.3 MHz |FM |297 |ND  |-                   |C3 |-  |LIC    |CLAXTON                  |GA |US |BLH    -19930827KE  |25.    kW |25.    kW |100.0   |100.0   |65607      |N |32 |10 |1.00  |W |81  |54 |7.00  |GEORGIA EAGLE MEDIA, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |143.   m|143.0  m|-         |-       |-       |100.   m|189460    |
|WCGQ        |107.3 MHz |FM |297 |ND  |-                   |C0 |-  |LIC    |COLUMBUS                 |GA |US |BMLH   -20070118ABW |100.   kW |100.   kW |308.0   |308.0   |72089      |N |32 |28 |0.00  |W |85  |3  |20.00 |PMB BROADCASTING, LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |418.   m|418.0  m|-         |-       |1037019 |228.   m|1167943   |
|WWGF        |107.5 MHz |FM |298 |ND  |-                   |A  |-  |LIC    |DONALSONVILLE            |GA |US |BMLED  -20090121AES |6.     kW |6.     kW |96.0    |96.0    |78706      |N |30 |58 |45.00 |W |84  |57 |27.00 |AUGUSTA RADIO FELOWSHIP INSTITUTE, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |135.   m|135.0  m|-         |-       |1041678 |89.    m|1297789   |
|WYPZ        |107.5 MHz |FM |298 |DA  |-                   |A  |-  |LIC    |COCHRAN                  |GA |US |BLH    -20100120ACT |4.     kW |4.     kW |122.3   |122.3   |26626      |N |32 |32 |36.00 |W |83  |27 |55.00 |PRAISE 107.5 FM RADIO LLC                                                   |   0.00 km |   0.00 mi |  0.00 deg |218.8  m|218.8  m|93923     |0.      |1243345 |112.7  m|1353419   |
|WTIF-FM     |107.5 MHz |FM |298 |ND  |-                   |A  |-  |LIC    |OMEGA                    |GA |US |BLH    -20110914AAW |6.     kW |6.     kW |100.0   |100.0   |63841      |N |31 |30 |34.00 |W |83  |31 |13.00 |PLANT BROADCASTING, LLC                                                     |   0.00 km |   0.00 mi |  0.00 deg |197.8  m|197.8  m|-         |-       |1273824 |82.    m|1443779   |
|WAMJ        |107.5 MHz |FM |298 |DA  |-                   |C2 |-  |LIC    |ROSWELL                  |GA |US |BLH    -20111123FBI |18.    kW |33.    kW |185.0   |185.0   |31872      |N |33 |55 |1.00  |W |84  |12 |6.00  |ROA LICENSES, LLC                                                           |   0.00 km |   0.00 mi |  0.00 deg |480.   m|480.0  m|105707    |0.      |1018919 |148.   m|1479910   |
|WPRW-FM     |107.7 MHz |FM |299 |ND  |-                   |C2 |-  |LIC    |MARTINEZ                 |GA |US |BLH    -19940421KB  |24.5   kW |24.5   kW |176.0   |176.0   |46967      |N |33 |36 |47.00 |W |82  |17 |51.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |283.   m|283.0  m|-         |-       |-       |145.   m|198516    |
|WEGC        |107.7 MHz |FM |299 |ND  |-                   |C3 |-  |LIC    |SASSER                   |GA |US |BLH    -19950825KC  |11.5   kW |11.5   kW |95.0    |95.0    |40463      |N |31 |38 |42.00 |W |84  |21 |15.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |171.   m|171.0  m|-         |-       |-       |92.    m|213134    |
|WHFX        |107.7 MHz |FM |299 |ND  |-                   |C2 |-  |LIC    |DARIEN                   |GA |US |BLH    -19990310KF  |50.    kW |50.    kW |147.0   |147.0   |63431      |N |31 |10 |9.00  |W |81  |32 |14.00 |QANTUM OF BRUNSWICK LICENSE COMPANY, LLC                                    |   0.00 km |   0.00 mi |  0.00 deg |148.   m|148.0  m|-         |-       |1020860 |145.   m|282605    |
|WWRQ-FM     |107.9 MHz |FM |300 |ND  |-                   |C2 |-  |LIC    |VALDOSTA                 |GA |US |BMLH   -20070206AAU |50.    kW |50.    kW |82.0    |82.0    |863        |N |31 |3  |21.00 |W |83  |13 |54.00 |SOUTHERN COMMUNICATIONS, LLC                                                |   0.00 km |   0.00 mi |  0.00 deg |149.4  m|149.4  m|-         |-       |1200264 |95.    m|1171871   |
|WDBN        |107.9 MHz |FM |300 |ND  |-                   |C3 |-  |LIC    |WRIGHTSVILLE             |GA |US |BLH    -20081217AAH |25.    kW |25.    kW |100.0   |100.0   |15025      |N |32 |37 |5.00  |W |82  |46 |5.00  |DOWDY PARTNERS                                                              |   0.00 km |   0.00 mi |  0.00 deg |193.   m|193.0  m|-         |-       |1059827 |102.   m|1284672   |
|WHTA        |107.9 MHz |FM |300 |ND  |-                   |C2 |-  |LIC    |HAMPTON                  |GA |US |BLH    -20111107AHG |35.    kW |35.    kW |177.0   |177.0   |52548      |N |33 |29 |24.00 |W |84  |34 |7.00  |RADIO ONE LICENSES, LLC                                                     |   0.00 km |   0.00 mi |  0.00 deg |451.   m|451.0  m|-         |-       |1018915 |153.   m|1457398   |

|KCUK        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |CHEVAK                   |AK |US |BLED   -19971114KB  |6.     kW |6.     kW |24.0    |24.0    |33453      |N |61 |31 |46.00 |W |165 |35 |20.00 |KASHUNAMIUT SCHOOL DISTRICT                                                 |   0.00 km |   0.00 mi |  0.00 deg |34.    m|34.0   m|-         |-       |-       |18.    m|256873    |
|KRUA        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |ANCHORAGE                |AK |US |BLED   -20020205AAD |0.155  kW |0.155  kW |254.0   |254.0   |69007      |N |61 |20 |11.00 |W |149 |30 |48.00 |UNIVERSITY OF ALASKA - BOARD OF REGENTS                                     |   0.00 km |   0.00 mi |  0.00 deg |598.   m|598.0  m|-         |-       |-       |20.    m|593799    |
|KAKI        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |JUNEAU                   |AK |US |BLED   -20110315ACF |1.7    kW |1.7    kW |-343.0  |-343.0  |175915     |N |58 |18 |5.00  |W |134 |26 |26.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |32.    m|32.0   m|-         |-       |1028325 |30.    m|1428251   |
|KOGJ        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |CP MOD |KENAI                    |AK |US |BMPED  -20120718ABV |0.     kW |1.1    kW |0.0     |104.0   |174802     |N |60 |31 |21.00 |W |151 |4  |16.00 |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|104.   m|-         |-       |1244884 |43.    m|1523219   |
|KBKO        |88.3  MHz |FM |202 |ND  |-                   |A  |-  |LIC    |KODIAK                   |AK |US |BLED   -20120627AAY |0.1    kW |0.1    kW |-8.0    |-8.0    |177368     |N |57 |48 |40.00 |W |152 |21 |40.00 |SACRED HEART RADIO, INC.                                                    |   0.00 km |   0.00 mi |  0.00 deg |48.    m|48.0   m|-         |-       |-       |6.     m|1505518   |
|KZVV        |88.3  MHz |FM |202 |ND  |-                   |C2 |-  |LIC    |FAIRBANKS                |AK |US |BMLED  -20130830ABX |3.2    kW |3.2    kW |474.0   |474.0   |176152     |N |64 |52 |45.00 |W |148 |3  |10.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |738.   m|738.0  m|-         |-       |-       |25.    m|1571741   |
|KAKL        |88.5  MHz |FM |203 |ND  |-                   |C3 |-  |LIC    |ANCHORAGE                |AK |US |BLED   -20040330ARP |11.    kW |11.    kW |-25.0   |-25.0   |93003      |N |61 |7  |14.00 |W |149 |53 |42.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |94.    m|94.0   m|-         |-       |1063079 |67.8   m|985379    |
|KNKO        |88.5  MHz |FM |203 |ND  |-                   |D  |-  |LIC    |SHAGELUK                 |AK |US |BLED   -20130411ABR |0.05   kW |0.     kW |-9.0    |0.0     |189899     |N |62 |39 |20.00 |W |159 |31 |49.00 |KUSKOKWIM PUBLIC BROADCASTING CORPORATION                                   |   0.00 km |   0.00 mi |  0.00 deg |48.    m|0.0    m|-         |-       |-       |9.     m|1550409   |
|KJHA        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |HOUSTON                  |AK |US |BLED   -20121025AAM |0.43   kW |0.43   kW |16.5    |16.5    |77894      |N |61 |38 |44.60 |W |149 |51 |51.60 |EVANGELISTIC ALASKA MISSIONARY FELLOWSHIP, INC.                             |   0.00 km |   0.00 mi |  0.00 deg |138.7  m|138.7  m|-         |-       |-       |32.    m|1521196   |
|KCAM-FM     |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |GLENNALLEN               |AK |US |BLED   -20130305AAW |1.7    kW |1.7    kW |73.0    |73.0    |173007     |N |62 |6  |52.00 |W |145 |32 |7.00  |ALASKA BIBLE COLLEGE                                                        |   0.00 km |   0.00 mi |  0.00 deg |535.   m|535.0  m|-         |-       |1003410 |91.    m|1544205   |
|KEUL        |88.9  MHz |FM |205 |ND  |-                   |A  |-  |LIC    |GIRDWOOD                 |AK |US |BLED   -20020314AAO |1.4    kW |0.     kW |194.0   |0.0     |90379      |N |60 |57 |44.00 |W |149 |4  |38.00 |GIRDWOOD COMMUNITY CLUB INC                                                 |   0.00 km |   0.00 mi |  0.00 deg |727.   m|0.0    m|-         |-       |-       |25.    m|597835    |
|KMJG        |88.9  MHz |FM |205 |ND  |-                   |A  |-  |LIC    |HOMER                    |AK |US |BLED   -20030926ATG |0.25   kW |0.25   kW |203.0   |203.0   |93252      |N |59 |40 |19.00 |W |151 |30 |30.00 |KASILOF PUBLIC BROADCASTING, INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |343.   m|343.0  m|-         |-       |-       |6.     m|689128    |
|KJLP        |88.9  MHz |FM |205 |ND  |-                   |A  |-  |LIC    |PALMER                   |AK |US |BLED   -20050822ANL |0.25   kW |0.25   kW |-64.0   |-64.0   |91481      |N |61 |37 |18.00 |W |149 |1  |16.00 |CHRISTIAN BROADCASTING INC                                                  |   0.00 km |   0.00 mi |  0.00 deg |276.   m|276.0  m|-         |-       |1002898 |11.    m|1080763   |
|KTNA        |88.9  MHz |FM |205 |ND  |-                   |C3 |-  |LIC    |TALKEETNA                |AK |US |BLED   -20080821ACW |7.2    kW |7.2    kW |22.0    |22.0    |64555      |N |62 |19 |5.00  |W |150 |17 |52.00 |TALKEETNA COMMUNITY RADIO, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |174.6  m|174.6  m|-         |-       |-       |35.    m|1261402   |
|KYMR-FM     |88.9  MHz |FM |205 |ND  |-                   |D  |-  |LIC    |METLAKATLA               |AK |US |BLED   -20100428AAO |0.     kW |0.05   kW |0.0     |-64.0   |183685     |N |55 |7  |41.00 |W |131 |34 |26.00 |ANNETTE ISLANDS SCHOOL DISTRICT                                             |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|29.    m|-         |-       |-       |17.    m|1364840   |
|KABN-FM     |88.9  MHz |FM |205 |ND  |-                   |A  |-  |LIC    |KASILOF                  |AK |US |BLED   -20110428AAK |0.     kW |3.2    kW |0.0     |102.0   |93588      |N |60 |31 |58.00 |W |151 |4  |52.00 |ALASKA EDUCATIONAL RADIO SYSTEM, INC                                        |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|147.   m|-         |-       |1005575 |97.6   m|1415275   |
|KNGW        |88.9  MHz |FM |205 |ND  |-                   |A  |-  |LIC    |JUNEAU                   |AK |US |BLED   -20110822ABH |0.125  kW |0.125  kW |-128.0  |-128.0  |176566     |N |58 |21 |57.00 |W |134 |37 |58.00 |LIFE ON THE WAY COMMUNICATIONS, INC.                                        |   0.00 km |   0.00 mi |  0.00 deg |151.   m|151.0  m|-         |-       |1258195 |6.     m|1442756   |
|KRFF        |89.1  MHz |FM |206 |ND  |-                   |C1 |-  |CP MOD |FAIRBANKS                |AK |US |BMPED  -20130917AEZ |10.    kW |10.    kW |474.0   |474.0   |173890     |N |64 |52 |45.00 |W |148 |3  |10.00 |ATHABASCAN FIDDLERS ASSOCIATION, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |738.   m|738.0  m|-         |-       |-       |25.    m|1568922   |
|KATB        |89.3  MHz |FM |207 |ND  |-                   |C3 |-  |LIC    |ANCHORAGE                |AK |US |BLED   -19930817KB  |4.9    kW |4.9    kW |202.0   |202.0   |10933      |N |61 |4  |2.00  |W |149 |44 |36.00 |CHRISTIAN BROADCASTING, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |529.   m|529.0  m|-         |-       |-       |19.    m|189166    |
|KQQS        |89.3  MHz |FM |207 |ND  |-                   |A  |-  |LIC    |SITKA                    |AK |US |BLED   -20101028ACL |0.     kW |0.5    kW |0.0     |-152.0  |176871     |N |57 |3  |2.00  |W |135 |20 |2.00  |SITKA SEVENTH-DAY ADVENTIST CHURCH                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|42.1   m|-         |-       |-       |29.    m|1404913   |
|KQQN        |89.3  MHz |FM |207 |ND  |-                   |A  |-  |LIC    |NOME                     |AK |US |BLED   -20110330AAC |0.     kW |0.6    kW |0.0     |-22.0   |176907     |N |64 |31 |12.00 |W |165 |22 |17.00 |NOME SEVENTH-DAY ADVENTIST CHURCH                                           |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|46.    m|-         |-       |-       |10.    m|1424632   |
|KVRF        |89.5  MHz |FM |208 |ND  |-                   |A  |-  |LIC    |SUTTON                   |AK |US |BLED   -20110907AAJ |0.36   kW |0.36   kW |-435.0  |-435.0  |177165     |N |61 |44 |18.20 |W |148 |54 |26.60 |RADIO FREE PALMER, INC. (NEW BOARD)                                         |   0.00 km |   0.00 mi |  0.00 deg |297.4  m|297.4  m|-         |-       |-       |14.7   m|1441124   |
|KMGS        |89.5  MHz |FM |208 |ND  |-                   |D  |-  |LIC    |ANVIK                    |AK |US |BLED   -20130411ABU |0.27   kW |0.     kW |57.0    |0.0     |189897     |N |62 |38 |58.00 |W |160 |11 |34.00 |KUSKOKWIM PUBLIC BROADCASTING CORPORATION                                   |   0.00 km |   0.00 mi |  0.00 deg |88.    m|0.0    m|-         |-       |-       |9.     m|1563652   |
|KUCB        |89.7  MHz |FM |209 |ND  |-                   |A  |-  |LIC    |UNALASKA                 |AK |US |BLED   -20090116ABN |0.66   kW |0.66   kW |-94.0   |-94.0   |171909     |N |53 |52 |35.00 |W |166 |32 |24.00 |UNALASKA COMMUNITY BROADCASTING, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |104.   m|104.0  m|-         |-       |1261574 |16.    m|1293580   |
|KLSF        |89.7  MHz |FM |209 |ND  |-                   |A  |-  |LIC    |JUNEAU                   |AK |US |BLED   -20110316AAA |1.7    kW |1.7    kW |-343.0  |-343.0  |175901     |N |58 |18 |5.00  |W |134 |26 |26.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |32.    m|32.0   m|-         |-       |1028325 |30.    m|1441550   |
|KWMD        |89.7  MHz |FM |209 |ND  |-                   |C3 |-  |CP     |STERLING                 |AK |US |BPED   -20111014ADA |0.     kW |8.     kW |0.0     |61.1    |93589      |N |60 |29 |19.33 |W |150 |44 |42.83 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|152.4  m|-         |-       |1275477 |21.7   m|1451054   |
|KXKM        |89.7  MHz |FM |209 |DA  |-                   |A  |-  |LIC    |MCCARTHY                 |AK |US |BLED   -20111206AFD |0.18   kW |0.     kW |-378.0  |0.0     |65236      |N |61 |25 |59.00 |W |142 |54 |51.00 |TERMINAL RADIO INC.                                                         |   0.00 km |   0.00 mi |  0.00 deg |454.   m|0.0    m|106500    |250.0   |-       |12.    m|1478022   |
|KUAC        |89.9  MHz |FM |210 |ND  |-                   |C  |-  |LIC    |FAIRBANKS                |AK |US |BLED   -19970421KC  |38.    kW |38.    kW |506.0   |506.0   |85347      |N |64 |52 |49.00 |W |148 |3  |8.00  |UNIVERSITY OF ALASKA                                                        |   0.00 km |   0.00 mi |  0.00 deg |765.   m|765.0  m|-         |-       |-       |47.    m|245088    |
|KAUG        |89.9  MHz |FM |210 |ND  |-                   |D  |-  |LIC    |ANCHORAGE                |AK |US |BLED   -20070827ABI |0.004  kW |0.     kW |30.0    |0.0     |165582     |N |61 |24 |33.00 |W |149 |25 |15.00 |ANCHORAGE SCHOOL DISTRICT                                                   |   0.00 km |   0.00 mi |  0.00 deg |178.   m|0.0    m|-         |-       |-       |10.    m|1199404   |
|KINU        |89.9  MHz |FM |210 |ND  |-                   |A  |-  |LIC    |KOTZEBUE                 |AK |US |BLED   -20090602ABQ |0.1    kW |0.1    kW |25.0    |25.0    |171728     |N |66 |53 |46.00 |W |162 |35 |46.00 |KOTZEBUE BROADCASTING INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |27.    m|27.0   m|-         |-       |1259574 |24.    m|1299155   |
|KDLG-FM     |89.9  MHz |FM |210 |ND  |-                   |A  |-  |LIC    |DILLINGHAM               |AK |US |BLED   -20100302ABF |0.25   kW |0.25   kW |25.0    |25.0    |171933     |N |59 |2  |37.00 |W |158 |27 |47.00 |DILLINGHAM CITY SCHOOL DISTRICT                                             |   0.00 km |   0.00 mi |  0.00 deg |41.    m|41.0   m|-         |-       |1262032 |20.    m|1356729   |
|KWMD        |90.1  MHz |FM |211 |ND  |-                   |A  |-  |LIC    |STERLING                 |AK |US |BLED   -20030725AEO |1.2    kW |0.     kW |6.0     |0.0     |93589      |N |60 |29 |16.00 |W |150 |47 |38.00 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |97.    m|0.0    m|-         |-       |-       |13.    m|672907    |
|KNBA        |90.3  MHz |FM |212 |ND  |-                   |C1 |-  |LIC    |ANCHORAGE                |AK |US |BLED   -19961025KF  |100.   kW |100.   kW |195.0   |195.0   |35289      |N |61 |25 |22.00 |W |149 |52 |20.00 |KOAHNIC BROADCAST CORPORATION                                               |   0.00 km |   0.00 mi |  0.00 deg |229.   m|229.0  m|-         |-       |1007418 |194.   m|234788    |
|KYUK-FM     |90.3  MHz |FM |212 |ND  |-                   |A  |-  |LIC    |BETHEL                   |AK |US |BLED   -20100104ABW |0.385  kW |0.385  kW |23.0    |23.0    |172683     |N |60 |47 |33.00 |W |161 |46 |22.00 |BETHEL BROADCASTING, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |33.    m|33.0   m|-         |-       |1001754 |25.    m|1362431   |
